Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
0,算法,上海·浦东·张江,高级人工智能算法工程师,上海飞旗网络技术股份有限公司,100-299人,股份制企业,2.9万-4万,硕士,无要求,5-10年,348000.0,480000.0
1,算法,上海·浦东·南汇新城,视觉算法工程师,其他,1000-9999人,股份制企业,1.5万-3万,本科,无要求,3-5年,180000.0,360000.0
2,算法,上海·浦东·张江,算法工程师,上海微创软件股份有限公司,10000人以上,合资,1.9万-2万,本科,无要求,3-5年,228000.0,240000.0
3,算法,上海·嘉定·江桥,算法,其他,300-499人,股份制企业,3万-4万,本科,无要求,5-10年,360000.0,480000.0
4,算法,上海·嘉定·外冈,ai算法工程师,索提斯云智控科技(上海)有限公司,20-99人,民营,1.5万-2万·13薪,本科,无要求,3-5年,195000.0,260000.0
5,算法,上海·闵行·颛桥,高级算法工程师-BMS,其他,1000-9999人,民营,2.5万-3.5万·16薪,本科,无要求,3-5年,400000.0,560000.0
6,算法,上海·静安·石门二路,算法工程师,其他,100-299人,外商独资,1万-1.8万,本科,无要求,5-10年,120000.0,216000.0
7,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,1-3年,210000.0,420000.0
9,算法,上海·浦东·金桥,算法,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
10,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·15薪,本科,无要求,经验不限,225000.0,450000.0
12,算法,上海·浦东·金桥,算法,外企德科,1000-9999人,合资,1.5万-3万·16薪,本科,无要求,经验不限,240000.0,480000.0
13,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
14,算法,上海·闵行·吴泾,算法实习生,宁波华科润生物科技有限公司,100-299人,民营,4千-7千,本科,无要求,无经验,48000.0,84000.0
15,算法,上海·浦东·金桥,算法,外企德科,1000-9999人,合资,1.5万-3万·16薪,本科,无要求,经验不限,240000.0,480000.0
16,算法,上海·青浦·徐泾,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,1-3年,210000.0,420000.0
17,算法,上海·虹口·嘉兴路,AI算法工程师-国企项目G00677,上海福迈迪工程技术有限公司,1000-9999人,外商独资,1万-2万,本科,无要求,经验不限,120000.0,240000.0
18,算法,上海·浦东·金桥,算法,外企德科,1000-9999人,合资,1.6万-3万·14薪,本科,无要求,1-3年,224000.0,420000.0
19,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
20,算法,上海·静安·大宁路,数学建模与机器学习算法工程师,上海智态数据科技有限公司,100-299人,民营,1.5万-3万·14薪,本科,无要求,3-5年,210000.0,420000.0
21,算法,上海·浦东·洋泾,算法,上海能源建设工程设计研究有限公司,100-299人,国企,1万-1.5万,本科,无要求,经验不限,120000.0,180000.0
22,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·15薪,本科,无要求,1-3年,180000.0,360000.0
23,算法,上海·浦东·金桥,算法,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
24,算法,上海·静安·石门二路,算法工程师,北京琪达信通科技有限公司,通信/网络设备,100-299人,3万-6万·15薪,本科,无要求,经验不限,450000.0,900000.0
25,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2.8万·16薪,本科,无要求,经验不限,224000.0,448000.0
26,算法,上海·青浦·金泽,算法,外企德科,1000-9999人,合资,2.1万-3.5万·14薪,本科,无要求,5-10年,294000.0,490000.0
27,算法,上海·黄浦·外滩,算法,平顶山翰格信息咨询有限公司,IT服务,20-99人,2.3万-3万,本科,无要求,3-5年,276000.0,360000.0
28,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
29,算法,上海·青浦·金泽,算法,外企德科,1000-9999人,合资,1.3万-2.6万,本科,无要求,经验不限,156000.0,312000.0
30,算法,上海·徐汇·徐家汇,算法,上海旗盈企业管理咨询有限公司,100-299人,民营,1.5万-2.5万,本科,无要求,1年以下,180000.0,300000.0
31,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,无要求,经验不限,168000.0,336000.0
32,算法,上海·浦东·张江,自动化算法工程师(J11746),其他,10000人以上,上市公司,1万-1.5万·15薪,硕士,无要求,经验不限,150000.0,225000.0
33,算法,上海·虹口·北外滩,ai算法工程师,上海金轩数字科技有限公司,20-99人,民营,1.3万-2.3万,本科,无要求,1-3年,156000.0,276000.0
34,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,2万-3万·14薪,本科,无要求,经验不限,280000.0,420000.0
35,算法,上海·徐汇·龙华,算法,其他,1000-9999人,上市公司,1.7万-1.8万,本科,无要求,3-5年,204000.0,216000.0
37,算法,上海·青浦·金泽,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
38,算法,上海·浦东·金桥,算法,外企德科,1000-9999人,合资,1.8万-3.5万·14薪,本科,无要求,经验不限,252000.0,490000.0
40,算法,上海·杨浦·大桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-1.8万,本科,机器学习,3-5年,204000.0,216000.0
41,算法,上海,上海中绿新能源公司-算法研发部-控制算法工程师（风电）,其他,10000人以上,国企,1.5万-2万,本科,无要求,经验不限,180000.0,240000.0
42,算法,上海·徐汇·虹梅路,算法,嘉兴市敏硕智能科技有限公司,20-99人,民营,8千-1万,本科,无要求,经验不限,96000.0,120000.0
43,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,2万-4万,本科,无要求,经验不限,240000.0,480000.0
44,算法,上海·嘉定·马陆,建图定位算法工程师,苏州领软科技有限公司,20-99人,民营,1万-2万,本科,无要求,1-3年,120000.0,240000.0
45,算法,上海,上海中绿新能源公司-算法研发部-控制算法工程师（储能）,其他,10000人以上,国企,1.5万-2万,本科,无要求,经验不限,180000.0,240000.0
46,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科,无要求,经验不限,182000.0,364000.0
47,算法,上海·黄浦·外滩,算法,DTJ Executive Search,100-299人,民营,4万-8万·16薪,硕士,无要求,5-10年,640000.0,1280000.0
49,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-2.3万,本科,无要求,无经验,180000.0,276000.0
50,算法,上海·黄浦·外滩,算法,DTJ Executive Search,100-299人,民营,3.5万-7万·16薪,硕士,无要求,5-10年,560000.0,1120000.0
51,算法,上海·闵行·七宝,AI算法工程师,其他,500-999人,国企,2.5万-3.5万,本科,无要求,3-5年,300000.0,420000.0
52,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.6万-3万·16薪,本科,无要求,经验不限,256000.0,480000.0
53,算法,上海·浦东·张江,算法工程师,凯捷中国,10000人以上,外商独资,1.9万-2.5万·13薪,本科,无要求,3-5年,247000.0,325000.0
54,算法,上海,上海中绿新能源公司-算法研发部-控制算法工程师（光伏）,其他,10000人以上,国企,1.5万-2万,本科,无要求,经验不限,180000.0,240000.0
55,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
56,算法,上海·浦东·张江,算法工程师,深圳市拓展信息咨询有限公司,20-99人,民营,4.5万-6.5万,本科,无要求,3-5年,540000.0,780000.0
57,算法,上海·浦东·北蔡,算法,其他,500-999人,民营,5万-10万,硕士,无要求,10年以上,600000.0,1200000.0
58,算法,上海·浦东·金桥,python工程师/算法工程师,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-1.7万·14薪,本科,无要求,经验不限,168000.0,238000.0
60,算法,上海·宝山·杨行,算法,上海宝掣科技有限公司,20-99人,民营,1.1万-1.8万,大专,无要求,1-3年,132000.0,216000.0
61,算法,上海·静安·大宁路,算法,卡斯柯信号有限公司,500-999人,其它,1.5万-2.3万·15薪,硕士,无要求,经验不限,225000.0,345000.0
62,算法,上海·黄浦·打浦桥,ai算法工程师,凯捷中国,10000人以上,外商独资,2.5万-3.5万·13薪,本科,无要求,5-10年,325000.0,455000.0
63,算法,上海·杨浦·大桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-2万,本科,无要求,3-5年,204000.0,240000.0
64,算法,上海·宝山·淞南,算法控制工程师（力控）,翔宇医疗,1000-9999人,民营,1.5万-3万·13薪,本科,无要求,经验不限,195000.0,390000.0
65,算法,上海·黄浦·南京东路,算法,汇智优才(沈阳)人力资源服务有限公司,20-99人,民营,2.6万-4.5万,本科,无要求,5-10年,312000.0,540000.0
66,算法,上海·嘉定·外冈,算法,上海乾曜光学科技有限公司,100-299人,民营,1.2万-2.4万·15薪,本科,无要求,1-3年,180000.0,360000.0
67,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
69,算法,上海·闵行·马桥,深度学习算法工程师,上海博珖机器人有限公司,新能源,20-99人,2.5万-4.5万,硕士,无要求,3-5年,300000.0,540000.0
71,算法,上海·闵行·新虹,cv算法工程师,浙江庆渔堂农业科技有限公司,100-299人,民营,1.5万-3万,本科,无要求,1-3年,180000.0,360000.0
72,算法,上海·浦东·曹路,AI算法工程师,上海微电子装备(集团)股份有限公司,1000-9999人,股份制企业,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
73,算法,上海·浦东·金桥,算法工程师（AI 大数据 图像 智能车）,外企德科,1000-9999人,合资,2万-4万·16薪,本科,无要求,无经验,320000.0,640000.0
74,算法,上海·浦东·金桥,算法,威海市真如人力资源管理服务有限公司,人力资源服务,20人以下,2.1万-4万,硕士,无要求,5-10年,252000.0,480000.0
75,算法,上海·浦东·北蔡,C#软件开发工程师,其他,300-499人,外商独资,1.5万-2.5万·13薪,本科,无要求,3-5年,195000.0,325000.0
76,算法,上海·浦东·唐镇,算法工程师,其他,10000人以上,上市公司,1.9万-2.7万,大专,无要求,3-5年,228000.0,324000.0
77,算法,上海·杨浦·大桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-1.7万,本科,无要求,3-5年,180000.0,204000.0
78,算法,上海·宝山·杨行,算法,上海宝掣科技有限公司,20-99人,民营,1万-1.8万,大专,无要求,1-3年,120000.0,216000.0
79,算法,上海·普陀·长寿路,算法,其他,10000人以上,民营,3万-6万·16薪,本科,无要求,3-5年,480000.0,960000.0
80,算法,上海·浦东·张江,多模态大模型算法专家,上海欣聘信息技术有限公司,20-99人,民营,4万-7万,本科,无要求,5-10年,480000.0,840000.0
81,算法,上海·松江·洞泾,算法工程师,上海中科教育装备集团有限公司,100-299人,民营,1.5万-2.2万,本科,无要求,1-3年,180000.0,264000.0
82,算法,上海·浦东·金桥,算法,协云智能工业科技(沈阳)有限公司,人工智能,20-99人,2万-4万,本科,无要求,经验不限,240000.0,480000.0
83,算法,上海·静安·彭浦,算法,其他,1000-9999人,股份制企业,2万-3万,本科,无要求,1-3年,240000.0,360000.0
84,算法,上海·闵行·江川路,算法,"上海凯士比泵有限公司 KSB SHANGHAI PUMP CO., LTD.",500-999人,合资,1.2万-2万,本科,无要求,1-3年,144000.0,240000.0
85,算法,上海·黄浦·外滩,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
86,算法,上海·闵行·虹桥,图像算法工程师,勤达科技,100-299人,民营,3万-6万,本科,无要求,3-5年,360000.0,720000.0
87,算法,上海·浦东·金桥,控制算法工程师(J10126),其他,100-299人,民营,1.5万-2.5万,硕士,无要求,经验不限,180000.0,300000.0
88,算法,上海·浦东·张江,人工智能算法工程师,其他,1000-9999人,股份制企业,1.5万-3万,本科,无要求,1-3年,180000.0,360000.0
89,算法,上海·徐汇·虹梅路,算法,经纬恒润,1000-9999人,民营,1.5万-2.5万·14薪,本科,无要求,经验不限,210000.0,350000.0
90,算法,上海·徐汇·漕河泾,算法工程师,北京瑞友科技股份有限公司,1000-9999人,民营,2万-2.5万,本科,无要求,5-10年,240000.0,300000.0
91,算法,上海·宝山·淞南,控制算法工程师,翔宇医疗,1000-9999人,民营,1.5万-2.5万,本科,无要求,3-5年,180000.0,300000.0
92,算法,上海·浦东·康桥,机器人算法工程师 (MJ000010),其他,500-999人,民营,1.5万-3万·15薪,学历不限,无要求,经验不限,225000.0,450000.0
93,算法,上海·浦东·张江,软件工程师（ADAS规控算法开发）,其他,20-99人,其它,1.4万-2.8万,本科,无要求,经验不限,168000.0,336000.0
94,算法,上海·嘉定·徐行,雷达算法工程师,矽杰微电子(厦门)有限公司上海分公司,电子/半导体/集成电路,20-99人,1.5万-3万,硕士,无要求,3-5年,180000.0,360000.0
95,算法,上海·浦东·潍坊新村,算法,其他,1000-9999人,股份制企业,1.7万-1.8万,大专,无要求,3-5年,204000.0,216000.0
97,算法,上海·宝山·淞南,机器人算法工程师（运动控制方向）,翔宇医疗,1000-9999人,民营,1.5万-2万,本科,无要求,1-3年,180000.0,240000.0
98,算法,上海,上海中绿新能源公司-算法研发部-DSP嵌入式软件工程师,其他,10000人以上,国企,1.5万-2万,本科,无要求,经验不限,180000.0,240000.0
99,算法,上海·黄浦·五里桥,算法,成都卓唯企业管理咨询有限公司,100-299人,外商独资,3万-4万,硕士,无要求,3-5年,360000.0,480000.0
100,算法,上海·宝山·淞南,电机控制算法工程师,芯昶锐(上海)科技工贸有限公司,20-99人,民营,1万-2万·18薪,本科,无要求,1-3年,180000.0,360000.0
101,算法,上海·徐汇·虹梅路,算法,上海慧姿化妆品有限公司,100-299人,合资,2万-3万·13薪,本科,无要求,3-5年,260000.0,390000.0
102,算法,上海·闵行·七宝,新媒体平台对接及算法规则分析,上汽大通房车科技有限公司,500-999人,国企,9千-1.2万·14薪,本科,无要求,1-3年,126000.0,168000.0
103,算法,上海·徐汇·虹桥,控制算法工程师（校招）,中国电子科技集团公司第二十一研究所,500-999人,事业单位,1万-1.5万,硕士,无要求,1年以下,120000.0,180000.0
104,算法,上海·静安·彭浦,机器视觉算法工程师,Beckhoff-德国倍福自动化有限公司,100-299人,外商独资,1万-1.4万·13薪,本科,无要求,3-5年,130000.0,182000.0
105,算法,上海·宝山·淞南,运动控制算法工程师,翔宇医疗,1000-9999人,民营,2万-3.5万·13薪,本科,无要求,经验不限,260000.0,455000.0
106,算法,上海·宝山·杨行,初级算法工程师,沈阳东硕信息技术有限公司,20-99人,民营,1万-2万·13薪,本科,无要求,1-3年,130000.0,260000.0
107,算法,上海·宝山·大场,医疗图像算法工程师,上海雄博精密仪器股份有限公司,100-299人,股份制企业,1.8万-3.5万·13薪,本科,无要求,经验不限,234000.0,455000.0
108,算法,上海·浦东·周家渡,python工程师/算法工程师,上海兼达信息技术服务有限公司,100-299人,民营,1.2万-1.5万,本科,无要求,3-5年,144000.0,180000.0
109,算法,上海·浦东·金桥,应用软件/算法开发工程师,其他,20-99人,其它,1.3万-2.6万,本科,无要求,经验不限,156000.0,312000.0
110,算法,上海·崇明·长兴,算法,江南造船(集团)有限责任公司,10000人以上,国企,2万-3万,博士,无要求,无经验,240000.0,360000.0
111,算法,上海,算法,施林格(深圳)人力资源有限公司,20人以下,民营,3万-6万·16薪,本科,无要求,5-10年,480000.0,960000.0
113,算法,上海·浦东·北蔡,智能算法研究岗,中国科学院上海高等研究院,500-999人,事业单位,1万-2万·13薪,硕士,无要求,经验不限,130000.0,260000.0
114,算法,上海·松江·新桥,算法,杭州新剑机电传动股份有限公司,300-499人,股份制企业,1.5万-3万,本科,无要求,3-5年,180000.0,360000.0
116,算法,上海·嘉定·安亭,地图导航产品BA,上海驰瑞晋隆汽车技术服务有限公司,20-99人,国企,8千-1.6万,本科,无要求,3-5年,96000.0,192000.0
117,算法,上海·闵行·吴泾,算法工程师,上海奥铁通讯技术有限公司,20-99人,民营,3万-5万,本科,无要求,1-3年,360000.0,600000.0
119,算法,上海·闵行·颛桥,高级软件工程师（控制算法）,其他,1000-9999人,民营,1.7万-3万,本科,无要求,5-10年,204000.0,360000.0
120,算法,上海·浦东·金桥,算法,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
121,算法,上海·徐汇·虹梅路,算法工程师,上海光维通信技术股份有限公司,300-499人,民营,2万-2.4万·13薪,本科,无要求,5-10年,260000.0,312000.0
122,算法,上海·浦东·张江,算法工程师,普望(上海)信息科技有限公司,20-99人,民营,1.3万-1.8万,本科,无要求,1-3年,156000.0,216000.0
123,算法,上海·浦东·花木,深度学习语音/语义算法开发工程师（上海）,其他,1000-9999人,上市公司,3万-5万·16薪,硕士,无要求,3-5年,480000.0,800000.0
124,算法,上海·徐汇·虹梅路,算法,其他,10000人以上,股份制企业,2.5万-4.5万,硕士,无要求,无经验,300000.0,540000.0
125,算法,上海·闵行·浦江,算法工程师,斯金爱特(上海)信息技术有限公司,20人以下,民营,2.3万-4.5万,本科,无要求,3-5年,276000.0,540000.0
126,算法,上海·浦东·北蔡,C#高级软件开发工程师,其他,300-499人,外商独资,2万-3万·13薪,本科,无要求,5-10年,260000.0,390000.0
127,算法,上海·嘉定·菊园新区,算法,上海沃瑞商务咨询有限公司,20-99人,民营,3万-5万·14薪,博士,无要求,经验不限,420000.0,700000.0
128,算法,上海·宝山·淞南,机器人算法工程师（运动控制方向）,翔宇医疗,1000-9999人,民营,1.5万-2万,本科,无要求,经验不限,180000.0,240000.0
129,算法,上海·黄浦·五里桥,ai算法工程师,天宇正清科技有限公司,500-999人,民营,2.5万-3万,本科,无要求,5-10年,300000.0,360000.0
130,算法,上海·浦东·洋泾,算法,道一(天津)企业管理咨询有限公司青岛分公司,100-299人,民营,4万-8万·16薪,硕士,无要求,3-5年,640000.0,1280000.0
131,算法,上海·徐汇·湖南路,算法,上海市华诚律师事务所,300-499人,律师事务所,7千-8千·13薪,本科,无要求,经验不限,91000.0,104000.0
132,算法,上海·浦东·唐镇,高级算法工程师,金锐软件技术(杭州)有限公司,500-999人,民营,1.3万-1.6万,本科,无要求,3-5年,156000.0,192000.0
133,算法,上海·闵行·吴泾,图像算法工程师,上海奥铁通讯技术有限公司,20-99人,民营,4万-8万,硕士,无要求,3-5年,480000.0,960000.0
134,算法,上海·浦东·金桥,算法,外企德科数字技术有限公司,人力资源服务,10000人以上,1.8万-3.5万·15薪,本科,无要求,经验不限,270000.0,525000.0
135,算法,上海·闵行·吴泾,图像算法工程师,其他,20人以下,股份制企业,1.5万-3万·13薪,本科,无要求,3-5年,195000.0,390000.0
136,算法,上海·黄浦·老西门,人工智能算法工程师,中国船舶集团海舟系统技术有限公司,100-299人,国企,2.8万-3.5万,硕士,无要求,3-5年,336000.0,420000.0
137,算法,上海·松江·洞泾,工业机器人-建图感知算法工程师,锐仕方达人才科技集团有限公司上海第四分公司,20-99人,民营,2万-3.5万·14薪,本科,无要求,3-5年,280000.0,490000.0
138,算法,上海·闵行·莘庄,算法工程师2434107302-X5917D,其他,10000人以上,其它,1.5万-2.5万·13薪,本科,无要求,3-5年,195000.0,325000.0
139,算法,上海·松江·九亭,算法工程师,其他,500-999人,国企,2.5万-3.5万,本科,无要求,3-5年,300000.0,420000.0
140,算法,上海·浦东·陆家嘴,电机控制算法工程师,浙江亚能能源科技有限公司,100-299人,民营,3万-4.5万·13薪,本科,无要求,5-10年,390000.0,585000.0
141,算法,上海·嘉定·江桥,adas算法工程师,其他,1000-9999人,上市公司,2.1万-3万·13薪,硕士,无要求,经验不限,273000.0,390000.0
142,算法,上海·静安·彭浦,算子开发工程师,上海欣聘信息技术有限公司,20-99人,民营,2.7万-5万·15薪,本科,无要求,3-5年,405000.0,750000.0
143,算法,上海,上海中绿新能源公司-算法研发部-经理（副经理）,其他,10000人以上,国企,2万-3万,本科,无要求,经验不限,240000.0,360000.0
